"","index","major"
"1","PCIP01","Agriculture, Agriculture Operations, And Related Sciences"
"2","PCIP03","Natural Resources And Conservation"
"3","PCIP04","Architecture And Related Services"
"4","PCIP05","Area, Ethnic, Cultural, Gender, And Group Studies"
"5","PCIP09","Communication, Journalism, And Related Programs"
"6","PCIP10","Communications Technologies/Technicians And Support Services"
"7","PCIP11","Computer And Information Sciences And Support Services"
"8","PCIP12","Personal And Culinary Services"
"9","PCIP13","Education"
"10","PCIP14","Engineering"
"11","PCIP15","Engineering Technologies And Engineering-Related Fields"
"12","PCIP16","Foreign Languages, Literatures, And Linguistics"
"13","PCIP19","Family And Consumer Sciences/Human Sciences"
"14","PCIP22","Legal Professions And Studies"
"15","PCIP23","English Language And Literature/Letters"
"16","PCIP24","Liberal Arts And Sciences, General Studies And Humanities"
"17","PCIP25","Library Science"
"18","PCIP26","Biological And Biomedical Sciences"
"19","PCIP27","Mathematics And Statistics"
"20","PCIP29","Military Technologies And Applied Sciences"
"21","PCIP30","Multi/Interdisciplinary Studies"
"22","PCIP31","Parks, Recreation, Leisure, And Fitness Studies"
"23","PCIP38","Philosophy And Religious Studies"
"24","PCIP39","Theology And Religious Vocations"
"25","PCIP40","Physical Sciences"
"26","PCIP41","Science Technologies/Technicians"
"27","PCIP42","Psychology"
"28","PCIP43","Homeland Security, Law Enforcement, Firefighting And Related Protective Services"
"29","PCIP44","Public Administration And Social Service Professions"
"30","PCIP45","Social Sciences"
"31","PCIP46","Construction Trades"
"32","PCIP47","Mechanic And Repair Technologies/Technicians"
"33","PCIP48","Precision Production"
"34","PCIP49","Transportation And Materials Moving"
"35","PCIP50","Visual And Performing Arts"
"36","PCIP51","Health Professions And Related Programs"
"37","PCIP52","Business, Management, Marketing, And Related Support Services"
"38","PCIP54","History"
